bdb_cid,smiles,mw,alogp,tpsa,hbd,hba,rotb,rings,arom_rings,fsp3,formal_charge,heavy_atoms,globularity_proxy,scaffold
2275,C(C1C(C(C(C(O1)OC2=C(N=C(NC2=O)N)N)O)O)O)O,304.2566,-2.8541,197.16999999999996,7,7,3,2,1,0.6,0,21,0.5714285714285714,O=c1[nH]cncc1OC1CCCCO1
2276,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,408.5714,2.8874,97.99000000000001,3,3,4,4,0,0.9583333333333334,0,29,0.5862068965517241,C1CCC2C(C1)CCC1C3CCCC3CCC21
2277,CC(CCC(=O)NCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,465.6227,1.9472,127.09000000000002,4,4,7,4,0,0.9230769230769231,0,33,0.5151515151515151,C1CCC2C(C1)CCC1C3CCCC3CCC21
2278,CC(CCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C,392.572,4.0568,77.76,2,2,4,4,0,0.9583333333333334,0,28,0.6071428571428571,C1CCC2C(C1)CCC1C3CCCC3CCC21
2279,CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,376.5726,5.1587,57.53,1,1,4,4,0,0.9583333333333334,0,27,0.6296296296296297,C1CCC2C(C1)CCC1C3CCCC3CCC21
2285,CC(C)OC(=O)C(C)NP(=O)(COC(C)CN1C=NC2=C(N=CN=C21)N)OC3=CC=CC=C3,476.4659,1.39,143.48,2,8,12,3,3,0.42857142857142855,0,33,0.45454545454545453,O=[PH](COCCn1cnc2cncnc21)Oc1ccccc1
2286,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)N3CCCC3C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CC(C)C)CC4=CC=CC=C4)CC5=CC=CC=C5)C(C)C)CC(C)C)C(C)CC,1040.3397,5.5488,244.32,7,9,13,5,2,0.631578947368421,0,75,0.6,O=C1CNC(=O)CNC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)C2CCCN2C(=O)C2CCCN2C(=O)CNC(=O)CN1
2287,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)N3CCCC3C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)C(C)C)CC4=CC=CC=C4)CC5=CC=CC=C5)C(C)CC)CC(C)C)CCS(=O)C,1074.3775,3.5327,261.39,7,9,14,5,2,0.625,0,76,0.5921052631578947,O=C1CNC(=O)CNC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)C2CCCN2C(=O)C2CCCN2C(=O)CNC(=O)CN1
2288,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)N3CCCC3C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)C(C)C)CC4=CC=CC=C4)CC5=CC=CC=C5)C(C)CC)CC(C)C)CCS(=O)(=O)C,1090.3769,3.6287,278.46,7,11,14,5,2,0.625,0,77,0.5844155844155844,O=C1CNC(=O)CNC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)C2CCCN2C(=O)C2CCCN2C(=O)CNC(=O)CN1
2289,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CC3=CNC4=CC=CC=C43)CC5=CC=CC=C5)CC6=CC=CC=C6)CC(C)C)CC(C)C)CCS(=O)C,1064.3412,4.0937,256.87,8,8,15,6,4,0.5087719298245614,0,76,0.631578947368421,O=C1CNC(=O)CNC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)C2CCCN2C(=O)CNC(=O)CN1
2290,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)N1)CC3=CC=CC=C3)CC(C)C)CC4=CC=CC=C4)C(C)C)CC(C)C)CCS(=O)C,977.2623,3.6031,241.07999999999998,7,8,14,4,2,0.6078431372549019,0,69,0.5652173913043478,O=C1CNC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)CNC(=O)CN1
2291,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)N1)CC3=CC=CC=C3)CC(C)C)CC4=CC=CC=C4)C(C)C)CC(C)C)CCS(=O)(=O)C,993.2617,3.6991,258.15,7,10,14,4,2,0.6078431372549019,0,70,0.5571428571428572,O=C1CNC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)CNC(=O)CN1
2292,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CC3=CNC4=CC=CC=C43)CC5=CC=CC=C5)CC6=CC=CC=C6)CCSC)CC(C)C)CCS(=O)C,1082.3796,3.1894,256.87,8,9,16,6,4,0.5,0,76,0.631578947368421,O=C1CNC(=O)CNC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)C2CCCN2C(=O)CNC(=O)CN1
2293,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CC3=CNC4=CC=CC=C43)CC5=CC=CC=C5)CC6=CC=CC=C6)CCS(=O)C)CC(C)C)CCS(=O)C,1098.379,2.0776,273.94,8,8,16,6,4,0.5,0,77,0.6233766233766234,O=C1CNC(=O)CNC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)C2CCCN2C(=O)CNC(=O)CN1
2299,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC,352.4037,3.9344,40.8,0,4,4,4,3,0.2857142857142857,1,26,0.6923076923076923,c1ccc2c(c1)CC[n+]1cc3ccccc3cc1-2
2300,CC(C)C(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,376.4865,3.8825,94.83000000000001,3,5,7,1,0,0.5454545454545454,0,27,0.2222222222222222,O=C1C=CC=CC1
2305,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OCC3C(C(C(C(O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,1701.1985,8.1786,777.9800000000005,25,46,31,11,10,0.07894736842105263,0,122,0.5409836065573771,O=C(OCC1OC(OC(=O)c2cccc(OC(=O)c3ccccc3)c2)C(OC(=O)c2cccc(OC(=O)c3ccccc3)c2)C(OC(=O)c2cccc(OC(=O)c3ccccc3)c2)C1OC(=O)c1cccc(OC(=O)c2ccccc2)c1)c1cccc(OC(=O)c2ccccc2)c1
