"cID","rID","RefID","Classification","THRmicroM","EC50Str","EC50mM","EC50microM","Efficacy_str","Efficacy","Efficacy_microM","Concentration_used","SequenceVariant"
"813","2144","987","Bitter","1000",,,,"0.11 ? 0.02",,,,
"815","2144","987","Bitter","100.0",,,,"0.08 ? 0.03",,,,
"923","2117","987","Bitter","10",,,,,,,,
"923","2140","987","Bitter","10",,,,,,,,
"931","2105","987","Bitter","3000.0",,,,"0.12 ? 0.03",,,,
"931","2114","987","Bitter","1000.0",,,,"0.12 ? 0.02",,,,
"931","2120","987","Bitter","1000.0",,,,,,,,
"931","2121","987","Bitter","1000.0",,,,,,,,
"931","2135","987","Bitter","1000.0",,,,,,,,
"87","3","1032","Bitter",,"172???29 ?M","0.17","172.0",,,,,
"92","4","1032","Bitter",,"1025???121 ?M","1.02","1025",,,,,
"96","7","1032","Bitter",,"4500???1600 ?M","4.5","4500",,,,,
"96","49","1032","Bitter",,"45???25 ?M","0.04","45",,,,,
"100","10","1032","Bitter",,"21.8???7.5 ?M","0.02","21.8",,,,,
"125","44","1032","Bitter",,"170???10 ?M","0.17","170",,,,,
"810","14","1056","Bitter",,"63 ?M","0.06","63",,,,,
"811","14","1056","Bitter",,"14 ?M","0.01","14",,,,,
"810","14","1062","Bitter",,"0.33 microM","0.00","0.33",,,,,
"810","46","1062","Bitter",,"4.53 microM","0.00","4.53",,,,,
"811","14","1062","Bitter",,"2.41 microM","0.00","2.41",,,,,
"221","16","1064","Bitter",,"3.84 mM",,"3840.0",,,,,
"44","14","1065","Bitter",,"1.9 ?M",,"1.9",,,,,
"62","1002","1066","Bitter",,"65.7 ?M","0.06","65.7",,,,,
"77","1001","1066","Bitter",,"2.81 ?M","0.00","2.81",,,,,
"813","4","1069","Bitter","2000.0","?30151.0","30.1","30151.0",,,,,
"813","5","1069","Bitter","1000.0","3800.0 ? 200.0 ?M ","3.8","3800.0",,,,,
